id,league_id,season_id,stage_id,round_id,group_id,aggregate_id,venue_id,referee_id,localteam_id,visitorteam_id,winner_team_id,weather_report,commentaries,attendance,pitch,details,neutral_venue,winning_odds_calculated,formations,scores,time,coaches,standings,assistants,leg,colors,deleted,is_placeholder
10341126,732,892,1727,,,,219226,15289,18704,18576,18704,"{'code': 'clouds', 'type': 'few clouds', 'icon': 'https://cdn.sportmonks.com/images/weather/02d.png', 'temperature': {'temp': 93.2, 'unit': 'fahrenheit'}, 'clouds': '20%', 'humidity': '26%', 'wind': {'speed': '11.18 m/s', 'degree': 140}}",True,41790,,,False,True,"{'localteam_formation': '4-4-2', 'visitorteam_formation': '4-3-3'}","{'localteam_score': 2, 'visitorteam_score': 0, 'localteam_pen_score': None, 'visitorteam_pen_score': None, 'ht_score': '0-0', 'ft_score': '2-0', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2018-07-02 14:00:00', 'date': '2018-07-02', 'time': '14:00:00', 'timestamp': 1530540000, 'timezone': 'UTC'}, 'minute': 90, 'second': 6, 'added_time': 0, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': 474720, 'visitorteam_coach_id': 896292}","{'localteam_position': 1, 'visitorteam_position': 2}","{'first_assistant_id': 15290, 'second_assistant_id': 15291, 'fourth_official_id': 11710}",1/1,,False,False
10341127,732,892,1727,,,,187159,16679,18564,18708,18564,,True,64042,,,False,True,"{'localteam_formation': '4-4-2', 'visitorteam_formation': '4-2-3-1'}","{'localteam_score': 1, 'visitorteam_score': 0, 'localteam_pen_score': None, 'visitorteam_pen_score': None, 'ht_score': '0-0', 'ft_score': '1-0', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2018-07-03 14:00:00', 'date': '2018-07-03', 'time': '14:00:00', 'timestamp': 1530626400, 'timezone': 'UTC'}, 'minute': 90, 'second': 16, 'added_time': 0, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': 474427, 'visitorteam_coach_id': 474706}","{'localteam_position': 1, 'visitorteam_position': 2}","{'first_assistant_id': 16680, 'second_assistant_id': 16681, 'fourth_official_id': 31517}",1/1,,False,False
10341161,732,892,1727,,,,219227,14013,18743,18597,18743,"{'code': 'clouds', 'type': 'scattered clouds', 'icon': 'https://cdn.sportmonks.com/images/weather/03d.png', 'temperature': {'temp': 57.48, 'unit': 'fahrenheit'}, 'clouds': '48%', 'humidity': '70%', 'wind': {'speed': '13.33 m/s', 'degree': 213.002}}",True,41466,,,False,True,"{'localteam_formation': '3-4-2-1', 'visitorteam_formation': '4-2-3-1'}","{'localteam_score': 3, 'visitorteam_score': 2, 'localteam_pen_score': None, 'visitorteam_pen_score': None, 'ht_score': '0-0', 'ft_score': '3-2', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2018-07-02 18:00:00', 'date': '2018-07-02', 'time': '18:00:00', 'timestamp': 1530554400, 'timezone': 'UTC'}, 'minute': 90, 'second': 4, 'added_time': 0, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': 474796, 'visitorteam_coach_id': 17187245}","{'localteam_position': 1, 'visitorteam_position': 2}","{'first_assistant_id': 14014, 'second_assistant_id': 14015, 'fourth_official_id': 13616}",1/1,,False,False
10341162,732,892,1727,,,,1609,25228,18720,18645,18645,"{'code': 'clouds', 'type': 'scattered clouds', 'icon': 'https://cdn.sportmonks.com/images/weather/03n.png', 'temperature': {'temp': 72.27, 'unit': 'fahrenheit'}, 'clouds': '32%', 'humidity': '41%', 'wind': {'speed': '4.43 m/s', 'degree': 168.501}}",True,44190,,,False,True,"{'localteam_formation': '4-3-1-2', 'visitorteam_formation': '3-1-4-2'}","{'localteam_score': 1, 'visitorteam_score': 1, 'localteam_pen_score': 3, 'visitorteam_pen_score': 4, 'ht_score': '0-0', 'ft_score': '1-1', 'et_score': '0-0', 'ps_score': '3-4'}","{'status': 'FT_PEN', 'starting_at': {'date_time': '2018-07-03 18:00:00', 'date': '2018-07-03', 'time': '18:00:00', 'timestamp': 1530640800, 'timezone': 'UTC'}, 'minute': 90, 'second': 0, 'added_time': 0, 'extra_minute': 30, 'injury_time': None}","{'localteam_coach_id': 474731, 'visitorteam_coach_id': 474589}","{'localteam_position': 1, 'visitorteam_position': 2}","{'first_assistant_id': 26865, 'second_assistant_id': 25229, 'fourth_official_id': 14622}",1/1,,False,False
10342083,732,892,1728,,,,186516,18783,15251,18647,18647,"{'code': 'clouds', 'type': 'broken clouds', 'icon': 'https://cdn.sportmonks.com/images/weather/04d.png', 'temperature': {'temp': 69.8, 'unit': 'fahrenheit'}, 'clouds': '75%', 'humidity': '60%', 'wind': {'speed': '8.95 m/s', 'degree': 310}}",True,43319,,,False,True,"{'localteam_formation': '4-3-1-2', 'visitorteam_formation': '4-2-3-1'}","{'localteam_score': 0, 'visitorteam_score': 2, 'localteam_pen_score': None, 'visitorteam_pen_score': None, 'ht_score': '0-1', 'ft_score': '0-2', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2018-07-06 14:00:00', 'date': '2018-07-06', 'time': '14:00:00', 'timestamp': 1530885600, 'timezone': 'UTC'}, 'minute': 90, 'second': 49, 'added_time': 0, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': 472158, 'visitorteam_coach_id': 474616}","{'localteam_position': 1, 'visitorteam_position': 1}","{'first_assistant_id': 18423, 'second_assistant_id': 18342, 'fourth_official_id': 23415}",1/1,,False,False
10344295,732,892,1728,,,,20259,13477,18702,18588,18588,"{'code': 'clouds', 'type': 'few clouds', 'icon': 'https://cdn.sportmonks.com/images/weather/02d.png', 'temperature': {'temp': 77, 'unit': 'fahrenheit'}, 'clouds': '20%', 'humidity': '69%', 'wind': {'speed': '6.71 m/s', 'degree': 310}}",True,78011,,,False,True,"{'localteam_formation': '4-4-2', 'visitorteam_formation': '4-1-4-1'}","{'localteam_score': 2, 'visitorteam_score': 2, 'localteam_pen_score': 3, 'visitorteam_pen_score': 4, 'ht_score': '1-1', 'ft_score': '1-1', 'et_score': '1-1', 'ps_score': '3-4'}","{'status': 'FT_PEN', 'starting_at': {'date_time': '2018-07-07 18:00:00', 'date': '2018-07-07', 'time': '18:00:00', 'timestamp': 1530986400, 'timezone': 'UTC'}, 'minute': 90, 'second': 0, 'added_time': 0, 'extra_minute': 30, 'injury_time': None}","{'localteam_coach_id': 896300, 'visitorteam_coach_id': 896785}","{'localteam_position': 2, 'visitorteam_position': 1}","{'first_assistant_id': 13471, 'second_assistant_id': 12846, 'fourth_official_id': 24137}",1/1,,False,False
10344350,732,892,1728,,,,8869,16781,18704,18743,18743,,True,42873,,,False,True,"{'localteam_formation': '4-3-3', 'visitorteam_formation': '4-3-3'}","{'localteam_score': 1, 'visitorteam_score': 2, 'localteam_pen_score': None, 'visitorteam_pen_score': None, 'ht_score': '0-2', 'ft_score': '1-2', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2018-07-06 18:00:00', 'date': '2018-07-06', 'time': '18:00:00', 'timestamp': 1530900000, 'timezone': 'UTC'}, 'minute': 90, 'second': 6, 'added_time': 0, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': 474720, 'visitorteam_coach_id': 474796}","{'localteam_position': 1, 'visitorteam_position': 1}","{'first_assistant_id': 16782, 'second_assistant_id': 16783, 'fourth_official_id': 25224}",1/1,,False,False
10346329,732,892,1728,,,,219226,15767,18564,18645,18645,"{'code': 'clouds', 'type': 'few clouds', 'icon': 'https://cdn.sportmonks.com/images/weather/02d.png', 'temperature': {'temp': 80.6, 'unit': 'fahrenheit'}, 'clouds': '20%', 'humidity': '39%', 'wind': {'speed': '8.95 m/s', 'degree': 170}}",True,39991,,,False,True,"{'localteam_formation': '4-4-2', 'visitorteam_formation': '3-1-4-2'}","{'localteam_score': 0, 'visitorteam_score': 2, 'localteam_pen_score': None, 'visitorteam_pen_score': None, 'ht_score': '0-1', 'ft_score': '0-2', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2018-07-07 14:00:00', 'date': '2018-07-07', 'time': '14:00:00', 'timestamp': 1530972000, 'timezone': 'UTC'}, 'minute': 90, 'second': 1, 'added_time': 0, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': 474427, 'visitorteam_coach_id': 474589}","{'localteam_position': 1, 'visitorteam_position': 2}","{'first_assistant_id': 12732, 'second_assistant_id': 12734, 'fourth_official_id': 11710}",1/1,,False,False
10350230,732,892,1729,,,,187159,28655,18647,18743,18647,,True,64286,,,False,True,"{'localteam_formation': '4-2-3-1', 'visitorteam_formation': '4-2-3-1'}","{'localteam_score': 1, 'visitorteam_score': 0, 'localteam_pen_score': None, 'visitorteam_pen_score': None, 'ht_score': '0-0', 'ft_score': '1-0', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2018-07-10 18:00:00', 'date': '2018-07-10', 'time': '18:00:00', 'timestamp': 1531245600, 'timezone': 'UTC'}, 'minute': 90, 'second': 18, 'added_time': 0, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': 474616, 'visitorteam_coach_id': 474796}","{'localteam_position': 1, 'visitorteam_position': 1}","{'first_assistant_id': 22331, 'second_assistant_id': 22330, 'fourth_official_id': 15641}",1/1,,False,False
10351626,732,892,1729,,,,187154,14516,18588,18645,18588,"{'code': 'clouds', 'type': 'few clouds', 'icon': 'https://cdn.sportmonks.com/images/weather/02n.png', 'temperature': {'temp': 78.01, 'unit': 'fahrenheit'}, 'clouds': '20%', 'humidity': '42%', 'wind': {'speed': '3.94 m/s', 'degree': 146.5}}",True,78011,,,False,True,"{'localteam_formation': '4-1-4-1', 'visitorteam_formation': '3-1-4-2'}","{'localteam_score': 2, 'visitorteam_score': 1, 'localteam_pen_score': None, 'visitorteam_pen_score': None, 'ht_score': '0-1', 'ft_score': '1-1', 'et_score': '1-0', 'ps_score': None}","{'status': 'AET', 'starting_at': {'date_time': '2018-07-11 18:00:00', 'date': '2018-07-11', 'time': '18:00:00', 'timestamp': 1531332000, 'timezone': 'UTC'}, 'minute': 90, 'second': 24, 'added_time': 0, 'extra_minute': 30, 'injury_time': None}","{'localteam_coach_id': 896785, 'visitorteam_coach_id': 474589}","{'localteam_position': 1, 'visitorteam_position': 2}","{'first_assistant_id': 12806, 'second_assistant_id': 12882, 'fourth_official_id': 15767}",1/1,,False,False
10359019,732,892,1730,,,,187159,23415,18743,18645,18743,,True,64406,,,False,True,"{'localteam_formation': '3-4-2-1', 'visitorteam_formation': '3-1-4-2'}","{'localteam_score': 2, 'visitorteam_score': 0, 'localteam_pen_score': None, 'visitorteam_pen_score': None, 'ht_score': '1-0', 'ft_score': '2-0', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2018-07-14 14:00:00', 'date': '2018-07-14', 'time': '14:00:00', 'timestamp': 1531576800, 'timezone': 'UTC'}, 'minute': 90, 'second': 10, 'added_time': 0, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': 474796, 'visitorteam_coach_id': 474589}","{'localteam_position': 1, 'visitorteam_position': 2}","{'first_assistant_id': 23416, 'second_assistant_id': 23417, 'fourth_official_id': 14013}",1/1,,False,False
10359020,732,892,1731,,,,187154,18783,18647,18588,18647,"{'code': 'clear', 'type': 'clear sky', 'icon': 'https://cdn.sportmonks.com/images/weather/01d.png', 'temperature': {'temp': 90.07, 'unit': 'fahrenheit'}, 'clouds': '0%', 'humidity': '24%', 'wind': {'speed': '4.72 m/s', 'degree': 228.501}}",True,78011,,,False,True,"{'localteam_formation': '4-4-2', 'visitorteam_formation': '4-1-4-1'}","{'localteam_score': 4, 'visitorteam_score': 2, 'localteam_pen_score': None, 'visitorteam_pen_score': None, 'ht_score': '2-1', 'ft_score': '4-2', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2018-07-15 15:00:00', 'date': '2018-07-15', 'time': '15:00:00', 'timestamp': 1531666800, 'timezone': 'UTC'}, 'minute': 90, 'second': 5, 'added_time': 0, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': 474616, 'visitorteam_coach_id': 896785}","{'localteam_position': 1, 'visitorteam_position': 1}","{'first_assistant_id': 18423, 'second_assistant_id': 18342, 'fourth_official_id': 15767}",1/1,,False,False
