position,season_id,player_id,team_id,stage_id,assists
1,892,184798,18644,1727,2
1,892,810,18704,1728,1
1,892,185658,18647,1729,1
1,892,991,18743,1730,1
1,892,186797,18647,1731,1
1,892,172250,18564,1733,2
2,892,129993,18644,1727,1
2,892,169234,18702,1728,1
2,892,31002,18588,1729,1
2,892,1371,18743,1730,1
2,892,31403,18588,1731,1
2,892,170199,18702,1733,2
3,892,333797,15251,1727,1
3,892,169510,18702,1728,1
3,892,72726,18588,1729,1
3,892,1806,18554,1733,2
4,892,1317,18704,1727,1
4,892,185658,18647,1728,1
4,892,97255,18720,1733,2
5,892,4233,18720,1727,1
5,892,820,18645,1728,1
5,892,96091,18720,1733,2
6,892,33677,18583,1727,1
6,892,995,18743,1728,1
6,892,213409,15251,1733,2
7,892,798,18647,1727,1
7,892,30965,18588,1728,1
7,892,62342,18743,1733,2
8,892,32397,18701,1727,1
8,892,268,18588,1728,1
8,892,988,18743,1733,1
9,892,1331,18743,1727,1
9,892,96122,18647,1728,1
9,892,31670,18588,1733,1
10,892,186797,18647,1727,1
10,892,165,18645,1728,1
10,892,129993,18644,1733,1
11,892,879,18597,1727,1
11,892,292034,18546,1733,1
12,892,61517,18743,1727,1
12,892,73004,18588,1733,1
13,892,190611,18597,1727,1
13,892,185480,18710,1733,1
14,892,947,15251,1727,1
14,892,1345,18598,1733,1
15,892,4271,18564,1727,1
15,892,31647,18710,1733,1
16,892,32352,18704,1733,1
17,892,810,18704,1733,1
18,892,186320,18704,1733,1
19,892,992,18583,1733,1
20,892,1371,18743,1733,1
21,892,5329,18704,1733,1
22,892,169510,18702,1733,1
23,892,32538,18708,1733,1
24,892,95678,18551,1733,1
25,892,169395,18702,1733,1
26,892,97692,18701,1733,1
27,892,31067,18708,1733,1
28,892,29640,18660,1733,1
29,892,5359,18699,1733,1
30,892,512352,18717,1733,1
31,892,29748,18775,1733,1
32,892,97716,18554,1733,1
33,892,1331,18743,1733,1
34,892,736,18576,1733,1
35,892,23905,18597,1733,1
36,892,184891,18710,1733,1
37,892,31638,18597,1733,1
38,892,96102,18701,1733,1
39,892,25887,18583,1733,1
40,892,320715,18567,1733,1
41,892,73147,18588,1733,1
42,892,155232,18699,1733,1
43,892,170034,18702,1733,1
44,892,320838,18567,1733,1
45,892,1953,18645,1733,1
46,892,253463,18576,1733,1
47,892,2884,18645,1733,1
48,892,186911,18644,1733,1
49,892,22994,18743,1733,1
50,892,61517,18743,1733,1
51,892,496,18737,1733,1
52,892,128854,18597,1733,1
53,892,305501,18554,1733,1
54,892,5341,18558,1733,1
55,892,2837,18737,1733,1
56,892,303660,18562,1733,1
57,892,124871,18701,1733,1
58,892,30922,18660,1733,1
59,892,1714,18708,1733,1
60,892,802,18645,1733,1
61,892,1351,18873,1733,1
62,892,1016,18645,1733,1
63,892,198051,18708,1733,1
64,892,169759,18702,1733,1
